model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-supreme,1,0.0487,0.0,0.3479,0.0,0.2992,0.0,NaturalQA
ai21/j2-jumbo,1,0.128,0.0,0.5133,0.0,0.3853,0.0,NaturalQA
ai21/jamba-1.5-mini,1,0.1328,0.0,0.5207,0.0,0.3879,0.0,NaturalQA
ai21/jamba-instruct,1,0.0546,0.0,0.4382,0.0,0.3836,0.0,NaturalQA
allenai/olmo-7b,1,0.0626,0.0,0.3212,0.0,0.2586,0.0,NaturalQA
amazon/nova-micro-v1:0,1,0.0718,0.0,0.3565,0.0,0.2847,0.0,NaturalQA
cohere/command-light,1,0.0236,0.0,0.2187,0.0,0.1951,0.0,NaturalQA
databricks/dbrx-instruct,1,0.1213,0.0,0.4051,0.0,0.2839,0.0,NaturalQA
google/gemini-1.5-flash-001,1,0.1523,0.0,0.4847,0.0,0.3324,0.0,NaturalQA
google/gemini-1.5-pro-001,1,0.0852,0.0,0.4632,0.0,0.378,0.0,NaturalQA
google/gemini-1.5-pro-002,1,0.1497,0.0,0.6052,0.0,0.4555,0.0,NaturalQA
google/gemma-2-27b-it,1,0.1259,0.0,0.4788,0.0,0.3529,0.0,NaturalQA
meta/llama-3.1-8b-instruct-turbo,1,0.0026,0.0,0.2064,0.0,0.209,0.0,NaturalQA
meta/llama-3.2-11b-vision-instruct-turbo,1,0.0097,0.0,0.2439,0.0,0.2342,0.0,NaturalQA
microsoft/phi-2,1,0.0326,0.0,0.1877,0.0,0.1552,0.0,NaturalQA
microsoft/phi-3-small-8k-instruct,1,0.0015,0.0,0.3251,0.0,0.3237,0.0,NaturalQA
mistralai/mistral-large-2407,1,0.1477,0.0,0.6004,0.0,0.4527,0.0,NaturalQA
mistralai/mistral-small-2402,1,0.1191,0.0,0.4234,0.0,0.3042,0.0,NaturalQA
openai/text-davinci-003,1,0.0563,0.0,0.4698,0.0,0.4134,0.0,NaturalQA
qwen/qwen1.5-110b-chat,1,0.1438,0.0,0.4936,0.0,0.3499,0.0,NaturalQA
qwen/qwen1.5-32b,1,0.1717,0.0,0.5251,0.0,0.3534,0.0,NaturalQA
qwen/qwen1.5-72b,1,0.1478,0.0,0.5649,0.0,0.4171,0.0,NaturalQA
AlephAlpha/luminous-supreme,1,0.0001,0.0,0.08,0.0,0.0801,0.0,MATH Competition
ai21/j2-jumbo,1,0.0453,0.0,0.06,0.0,0.1053,0.0,MATH Competition
ai21/jamba-1.5-mini,1,0.0695,0.0,0.26,0.0,0.3295,0.0,MATH Competition
ai21/jamba-instruct,1,0.1456,0.0,0.28,0.0,0.4256,0.0,MATH Competition
allenai/olmo-7b,1,0.0034,0.0,0.04,0.0,0.0366,0.0,MATH Competition
amazon/nova-micro-v1:0,1,0.0118,0.0,0.78,0.0,0.7918,0.0,MATH Competition
cohere/command-light,1,0.0207,0.0,0.08,0.0,0.1007,0.0,MATH Competition
databricks/dbrx-instruct,1,0.0402,0.0,0.34,0.0,0.2998,0.0,MATH Competition
google/gemini-1.5-flash-001,1,0.0272,0.0,0.76,0.0,0.7872,0.0,MATH Competition
google/gemini-1.5-pro-001,1,0.0173,0.0,0.88,0.0,0.8627,0.0,MATH Competition
google/gemini-1.5-pro-002,1,0.0336,0.0,0.9,0.0,0.9336,0.0,MATH Competition
google/gemma-2-27b-it,1,0.0872,0.0,0.7,0.0,0.7872,0.0,MATH Competition
meta/llama-3.1-8b-instruct-turbo,1,0.0232,0.0,0.76,0.0,0.7368,0.0,MATH Competition
meta/llama-3.2-11b-vision-instruct-turbo,1,0.0511,0.0,0.82,0.0,0.7689,0.0,MATH Competition
microsoft/phi-2,1,0.0065,0.0,0.32,0.0,0.3135,0.0,MATH Competition
microsoft/phi-3-small-8k-instruct,1,0.1129,0.0,0.64,0.0,0.7529,0.0,MATH Competition
mistralai/mistral-large-2407,1,0.0008,0.0,0.72,0.0,0.7208,0.0,MATH Competition
mistralai/mistral-small-2402,1,0.0934,0.0,0.6,0.0,0.6934,0.0,MATH Competition
openai/text-davinci-003,1,0.0205,0.0,0.46,0.0,0.4805,0.0,MATH Competition
qwen/qwen1.5-110b-chat,1,0.027,0.0,0.6,0.0,0.627,0.0,MATH Competition
qwen/qwen1.5-32b,1,0.0935,0.0,0.68,0.0,0.7735,0.0,MATH Competition
qwen/qwen1.5-72b,1,0.0248,0.0,0.68,0.0,0.7048,0.0,MATH Competition
