model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
open-llm-leaderboard/details_meta-math__MetaMath-Mistral-7B,1,0.1039,0.0,0.9,0.0,0.7961,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_abacusai__Fewshot-Metamath-OrcaVicuna-Mistral,1,0.0233,0.0,0.8,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_rameshm__llama-2-13b-mathgpt-v4,1,0.0146,0.0,0.5,0.0,0.5146,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_qblocks__mistral_7b_DolphinCoder,1,0.0427,0.0,0.8,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_rombodawg__LosslessMegaCoder-llama2-13b-mini,1,0.0767,0.0,0.7,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_mrm8488__llama-2-coder-7b,1,0.1631,0.0,0.4,0.0,0.5631,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Harshvir__Llama-2-7B-physics,1,0.0796,0.0,0.6,0.0,0.6796,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_wang7776__Mistral-7B-Instruct-v0.2-sparsity-20,1,0.0117,0.0,0.6,0.0,0.6117,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_huangyt__Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,1,0.065,0.0,0.9,0.0,0.835,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Locutusque__Rhino-Mistral-7B,1,0.099,0.0,0.6,0.0,0.699,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_HenryJJ__dolphin-2.6-mistral-7b-dpo-orca-v3,1,0.0942,0.0,0.9,0.0,0.8058,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_charlesdedampierre__TopicNeuralHermes-2.5-Mistral-7B,1,0.067,0.0,0.7,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Pierre-obi__Mistral_solar-slerp,1,0.1369,0.0,0.7,0.0,0.5631,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_elyza__ELYZA-japanese-Llama-2-13b-instruct,1,0.0621,0.0,0.8,0.0,0.7379,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_CultriX__MistralTrixTest,1,0.0864,0.0,0.7,0.0,0.7864,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_osanseviero__mistral-instruct-frankenmerge,1,0.0621,0.0,0.8,0.0,0.7379,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_RatanRohith__MistralBeagle-RS-7B-V0.1,1,0.1767,0.0,0.6,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_chargoddard__mistral-11b-slimorca,1,0.0233,0.0,0.8,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_ewqr2130__mistral-se-inst-ppo,1,0.1087,0.0,0.6,0.0,0.7087,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_cognitivecomputations__dolphin-2.2.1-mistral-7b,1,0.0767,0.0,0.7,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_dfurman__Mistral-7B-Instruct-v0.2,1,0.1282,0.0,0.6,0.0,0.7282,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_spmurrayzzz__Mistral-Syndicate-7B,1,0.167,0.0,0.6,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Undi95__Mistral-11B-v0.1,1,0.0058,0.0,0.8,0.0,0.8058,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_diffnamehard__Mistral-CatMacaroni-slerp-gradient,1,0.067,0.0,0.7,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_diffnamehard__Mistral-CatMacaroni-slerp-uncensored,1,0.1282,0.0,0.6,0.0,0.7282,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Yhyu13__LMCocktail-Mistral-7B-v1,1,0.0573,0.0,0.7,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_vikash06__mistral_v1,1,0.0019,0.0,0.6,0.0,0.6019,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_abdulrahman-nuzha__finetuned-Mistral-5000-v1.0,1,0.0864,0.0,0.7,0.0,0.7864,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_bn22__OpenHermes-2.5-Mistral-7B-MISALIGNED,1,0.0767,0.0,0.7,0.0,0.7767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_zyh3826__GML-Mistral-merged-v1,1,0.0864,0.0,0.7,0.0,0.7864,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Zangs3011__mistral_7b_DolphinCoder,1,0.0427,0.0,0.8,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_KnutJaegersberg__Walter-Mistral-7B,1,0.033,0.0,0.8,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_martyn__llama2-megamerge-dare-13b-v2,1,0.0282,0.0,0.7,0.0,0.7282,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_martyn__mistral-megamerge-dare-7b,1,0.0117,0.0,0.6,0.0,0.6117,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_wang7776__Llama-2-7b-chat-hf-10-sparsity,1,0.001,0.0,0.7,0.0,0.699,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_WebraftAI__synapsellm-7b-mistral-v0.4-preview3,1,0.1184,0.0,0.6,0.0,0.7184,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_zyh3826__llama2-13b-ft-openllm-leaderboard-v1,1,0.0039,0.0,0.8,0.0,0.7961,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_uukuguy__speechless-code-mistral-7b-v2.0,1,0.0602,0.0,0.6,0.0,0.6602,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_WebraftAI__synapsellm-7b-mistral-v0.3-preview,1,0.0602,0.0,0.6,0.0,0.6602,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_simonveitner__MathHermes-2.5-Mistral-7B,1,0.067,0.0,0.7,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_xxyyy123__Mistral7B_adaptor_v1,1,0.0845,0.0,0.9,0.0,0.8155,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_speechlessai__speechless-mistral-7b-dare-0.85,1,0.0136,0.0,0.8,0.0,0.7864,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_SciPhi__SciPhi-Self-RAG-Mistral-7B-32k,1,0.0864,0.0,0.7,0.0,0.7864,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_l3utterfly__mistral-7b-v0.1-layla-v1,1,0.033,0.0,0.8,0.0,0.767,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Undi95__Llama2-13B-no_robots-alpaca-lora,1,0.1282,0.0,0.6,0.0,0.7282,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_PeanutJar__Mistral-v0.1-PeanutButter-v0.0.2-7B,1,0.065,0.0,0.9,0.0,0.835,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Secbone__llama-2-13B-instructed,1,0.0184,0.0,0.7,0.0,0.7184,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_teknium__CollectiveCognition-v1-Mistral-7B,1,0.0058,0.0,0.8,0.0,0.8058,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_SkunkworksAI__Mistralic-7B-1,1,0.0767,0.0,0.7,0.0,0.7767,0.0,harness_hendrycksTest_management_5
