model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-extended,1,0.035,0.0,0.04,0.0,0.075,0.0
ai21/jamba-1.5-mini,1,0.011,0.0,0.68,0.0,0.691,0.0
amazon/nova-pro-v1:0,1,0.07,0.0,0.8,0.0,0.87,0.0
anthropic/claude-2.1,1,0.004,0.0,0.6,0.0,0.604,0.0
anthropic/claude-3-5-sonnet-20240620,1,0.029,0.0,0.92,0.0,0.949,0.0
cohere/command-r-plus,1,0.018,0.0,0.72,0.0,0.738,0.0
google/gemini-1.5-flash-001,1,0.055,0.0,0.84,0.0,0.785,0.0
google/gemini-1.5-flash-002,1,0.008,0.0,0.32,0.0,0.328,0.0
google/gemini-1.5-pro-001,1,0.036,0.0,0.8,0.0,0.836,0.0
google/gemini-1.5-pro-002,1,0.103,0.0,0.92,0.0,0.817,0.0
meta/llama-3-8b,1,0.019,0.0,0.48,0.0,0.499,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.029,0.0,0.92,0.0,0.949,0.0
mistralai/mistral-7b-instruct-v0.3,1,0.098,0.0,0.44,0.0,0.538,0.0
mistralai/mixtral-8x7b-32kseqlen,1,0.142,0.0,0.48,0.0,0.622,0.0
openai/gpt-4-turbo-2024-04-09,1,0.144,0.0,0.68,0.0,0.824,0.0
openai/gpt-4o-2024-08-06,1,0.069,0.0,0.84,0.0,0.909,0.0
openai/gpt-4o-mini-2024-07-18,1,0.083,0.0,0.76,0.0,0.843,0.0
qwen/qwen1.5-72b,1,0.001,0.0,0.8,0.0,0.799,0.0
qwen/qwen2.5-72b-instruct-turbo,1,0.14,0.0,0.76,0.0,0.9,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.01,0.0,0.84,0.0,0.83,0.0
snowflake/snowflake-arctic-instruct,1,0.048,0.0,0.72,0.0,0.768,0.0
tiiuae/falcon-40b,1,0.067,0.0,0.2,0.0,0.267,0.0
