model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,1,0.0525,0.0,0.76,0.0,0.7075,0.0,EntityDataImputation
ai21/j1-grande-v2-beta,1,0.0511,0.0,0.82,0.0,0.7689,0.0,EntityDataImputation
ai21/j1-jumbo,1,0.0577,0.0,0.77,0.0,0.7123,0.0,EntityDataImputation
ai21/j2-large,1,0.043,0.0,0.76,0.0,0.717,0.0,EntityDataImputation
anthropic/stanford-online-all-v4-s3,1,0.0459,0.0,0.77,0.0,0.7241,0.0,EntityDataImputation
cohere/command-xlarge-beta,1,0.0618,0.0,0.8,0.0,0.7382,0.0,EntityDataImputation
cohere/xlarge-20221108,1,0.0241,0.0,0.8,0.0,0.7759,0.0,EntityDataImputation
lmsys/vicuna-7b-v1.3,1,0.0372,0.0,0.74,0.0,0.7028,0.0,EntityDataImputation
microsoft/TNLGv2_530B,1,0.0575,0.0,0.85,0.0,0.7925,0.0,EntityDataImputation
microsoft/TNLGv2_7B,1,0.074,0.0,0.89,0.0,0.816,0.0,EntityDataImputation
mosaicml/mpt-30b,1,0.0386,0.0,0.89,0.0,0.8514,0.0,EntityDataImputation
openai/text-babbage-001,1,0.036,0.0,0.72,0.0,0.684,0.0,EntityDataImputation
openai/text-davinci-003,1,0.0157,0.0,0.86,0.0,0.8443,0.0,EntityDataImputation
together/bloom,1,0.0831,0.0,0.76,0.0,0.6769,0.0,EntityDataImputation
together/opt-175b,1,0.0554,0.0,0.77,0.0,0.7146,0.0,EntityDataImputation
together/redpajama-incite-base-3b-v1,1,0.0352,0.0,0.83,0.0,0.7948,0.0,EntityDataImputation
writer/palmyra-x,1,0.0645,0.0,0.89,0.0,0.8255,0.0,EntityDataImputation
AlephAlpha/luminous-base,1,0.025,0.0,0.5,0.0,0.475,0.0,RAFT
ai21/j1-grande-v2-beta,1,0.0295,0.0,0.65,0.0,0.6795,0.0,RAFT
