model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
01-ai/yi-6b,1,0.0009,0.0,0.7115,0.0,0.7124,0.0
01-ai/yi-large-preview,1,0.0638,0.0,0.4448,0.0,0.381,0.0
ai21/jamba-instruct,1,0.0349,0.0,0.7027,0.0,0.6678,0.0
amazon/nova-micro-v1:0,1,0.0587,0.0,0.8064,0.0,0.7477,0.0
anthropic/claude-3-5-sonnet-20241022,1,0.052,0.0,0.8328,0.0,0.7808,0.0
anthropic/claude-3-haiku-20240307,1,0.0022,0.0,0.2442,0.0,0.242,0.0
anthropic/claude-instant-1.2,1,0.0017,0.0,0.6313,0.0,0.6296,0.0
google/gemma-2-27b-it,1,0.0238,0.0,0.8156,0.0,0.7918,0.0
google/gemma-2-9b-it,1,0.0313,0.0,0.8111,0.0,0.7797,0.0
google/text-bison@001,1,0.0626,0.0,0.7843,0.0,0.7217,0.0
meta/llama-2-70b,1,0.043,0.0,0.8083,0.0,0.7653,0.0
meta/llama-2-7b,1,0.0339,0.0,0.6669,0.0,0.7008,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0169,0.0,0.7956,0.0,0.7787,0.0
microsoft/phi-3-medium-4k-instruct,1,0.0506,0.0,0.7896,0.0,0.7389,0.0
mistralai/mixtral-8x22b,1,0.023,0.0,0.8085,0.0,0.7855,0.0
openai/gpt-3.5-turbo-0613,1,0.0322,0.0,0.62,0.0,0.6522,0.0
openai/gpt-4-1106-preview,1,0.0301,0.0,0.759,0.0,0.7289,0.0
qwen/qwen1.5-72b,1,0.0537,0.0,0.6594,0.0,0.6057,0.0
qwen/qwen2-72b-instruct,1,0.0375,0.0,0.7748,0.0,0.7373,0.0
qwen/qwen2.5-7b-instruct-turbo,1,0.0126,0.0,0.7279,0.0,0.7405,0.0
snowflake/snowflake-arctic-instruct,1,0.015,0.0,0.6354,0.0,0.6503,0.0
writer/palmyra-x-v3,1,0.0647,0.0,0.7791,0.0,0.7144,0.0
